"BA Code","Timestamp (Hour Ending)","Demand (MWh)"
NYIS,"11/6/2025 9 a.m. EST",16089
NYIS,"11/6/2025 10 a.m. EST",15601
NYIS,"11/6/2025 11 a.m. EST",15493
NYIS,"11/6/2025 12 p.m. EST",15599
NYIS,"11/6/2025 1 p.m. EST",15530
NYIS,"11/6/2025 2 p.m. EST",15750
NYIS,"11/6/2025 3 p.m. EST",16077
NYIS,"11/6/2025 4 p.m. EST",16814
NYIS,"11/6/2025 5 p.m. EST",17867
NYIS,"11/6/2025 6 p.m. EST",18665
NYIS,"11/6/2025 7 p.m. EST",18509
NYIS,"11/6/2025 8 p.m. EST",18160
NYIS,"11/6/2025 9 p.m. EST",17648
NYIS,"11/6/2025 10 p.m. EST",16945
NYIS,"11/6/2025 11 p.m. EST",16065
NYIS,"11/7/2025 12 a.m. EST",15188
NYIS,"11/7/2025 1 a.m. EST",14601
NYIS,"11/7/2025 2 a.m. EST",14189
NYIS,"11/7/2025 3 a.m. EST",13903
NYIS,"11/7/2025 4 a.m. EST",13815
NYIS,"11/7/2025 5 a.m. EST",14034
NYIS,"11/7/2025 6 a.m. EST",14918
NYIS,"11/7/2025 7 a.m. EST",16317
NYIS,"11/7/2025 8 a.m. EST",16901
NYIS,"11/7/2025 9 a.m. EST",16723
NYIS,"11/7/2025 10 a.m. EST",16248
NYIS,"11/7/2025 11 a.m. EST",15809
NYIS,"11/7/2025 12 p.m. EST",15821
NYIS,"11/7/2025 1 p.m. EST",15879
NYIS,"11/7/2025 2 p.m. EST",16223
NYIS,"11/7/2025 3 p.m. EST",16750
NYIS,"11/7/2025 4 p.m. EST",17204
NYIS,"11/7/2025 5 p.m. EST",17740
NYIS,"11/7/2025 6 p.m. EST",18136
NYIS,"11/7/2025 7 p.m. EST",17787
NYIS,"11/7/2025 8 p.m. EST",17307
NYIS,"11/7/2025 9 p.m. EST",16758
NYIS,"11/7/2025 10 p.m. EST",16145
NYIS,"11/7/2025 11 p.m. EST",15353
NYIS,"11/8/2025 12 a.m. EST",14517
NYIS,"11/8/2025 1 a.m. EST",13822
NYIS,"11/8/2025 2 a.m. EST",13341
NYIS,"11/8/2025 3 a.m. EST",13022
NYIS,"11/8/2025 4 a.m. EST",12857
NYIS,"11/8/2025 5 a.m. EST",12859
NYIS,"11/8/2025 6 a.m. EST",13145
NYIS,"11/8/2025 7 a.m. EST",13679
NYIS,"11/8/2025 8 a.m. EST",14166
NYIS,"11/8/2025 9 a.m. EST",14124
NYIS,"11/8/2025 10 a.m. EST",13805
NYIS,"11/8/2025 11 a.m. EST",13477
NYIS,"11/8/2025 12 p.m. EST",13296
NYIS,"11/8/2025 1 p.m. EST",13203
NYIS,"11/8/2025 2 p.m. EST",13534
NYIS,"11/8/2025 3 p.m. EST",14197
NYIS,"11/8/2025 4 p.m. EST",15148
NYIS,"11/8/2025 5 p.m. EST",16050
